_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
693,692,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1173030,LANGSA KOTA,2006,,,,,
694,693,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1174010,BLANG MANGAT,2006,,,,,
695,694,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1174020,MUARA DUA,2006,,,,,
696,695,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1174030,BANDA SAKTI,2006,,,,,
697,696,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202010,BATAHAN,2006,,,,,
698,697,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202020,BATANG NATAL,2006,,,,2,
699,698,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202021,LINGGA BAYU,2006,,,,,
700,699,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202030,KOTANOPAN,2006,,,,,
701,700,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202031,ULU PUNGKUT,2006,,,,9,
702,701,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202032,TAMBANGAN,2006,,,,,
703,702,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202033,LEMBAH SORIK MARAPI,2006,,,,8,
704,703,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202040,MUARA SIPONGI,2006,,,,,
705,704,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202050,PANYABUNGAN,2006,,,,,
706,705,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202051,PANYABUNGAN SELATAN,2006,,,,7,
707,706,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202052,PANYABUNGAN BARAT,2006,,,,,
708,707,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202053,PANYABUNGAN UTARA,2006,,,,,
709,708,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202054,PANYABUNGAN TIMUR,2006,,,,6,
710,709,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1202060,NATAL,2006,,,,,
